Entry,Entryname,Status,Proteinnames,Genenames,Organism,Length,ECnumber,Geneontology,Crossreference
A0A2R8Y7C9,A0A2R8Y7C9_HUMAN,unreviewed,GATOR complex protein DEPDC5 (Fragment),Homo sapiens (Human),228,DEPDC5,,,IPR036388;IPR036390;
D2DKS2,D2DKS2_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-B,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A059QDD1,A0A059QDD1_HUMAN,unreviewed,Cytochrome b,Homo sapiens (Human),380,CYTB,,"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]",IPR005798;IPR036150;IPR005797;IPR027387;IPR030689;IPR016174;
H3BQ72,H3BQ72_HUMAN,unreviewed,Translin-associated factor X-interacting protein 1,Homo sapiens (Human),141,TSNAXIP1,,,
A0A087WXQ9,A0A087WXQ9_HUMAN,unreviewed,Keratin-associated protein 5-11,Homo sapiens (Human),185,KRTAP5-11,,keratin filament [GO:0045095],IPR002494;
A0A0K0KRP4,A0A0K0KRP4_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),87,HLA-DPB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
A0A0G2JLW8,A0A0G2JLW8_HUMAN,unreviewed,Multiple epidermal growth factor-like domains protein 11 (Fragment),Homo sapiens (Human),828,MEGF11,,integral component of membrane [GO:0016021],IPR013032;IPR000742;IPR002049;
B2DFV9,B2DFV9_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),273,HLA-A,,,IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;
I3L4Z8,I3L4Z8_HUMAN,unreviewed,Phosphatidylcholine transfer protein (Fragment),Homo sapiens (Human),146,PCTP,,lipid binding [GO:0008289],IPR023393;IPR002913;
A0A4P2SUW0,A0A4P2SUW0_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),183,HLA-DQB1,,integral component of membrane [GO:0016021]; MHC class II protein complex [GO:0042613]; adaptive immune response [GO:0002250]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011162;IPR014745;IPR000353;
A0A2S0SYS0,A0A2S0SYS0_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),183,HLA-DQB1,,integral component of membrane [GO:0016021]; MHC class II protein complex [GO:0042613]; adaptive immune response [GO:0002250]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011162;IPR014745;IPR000353;
Q8N7H9,Q8N7H9_HUMAN,unreviewed,"cDNA FLJ25548 fis, clone JTH01554",Homo sapiens (Human),185,,,,
A0A286YFD9,A0A286YFD9_HUMAN,unreviewed,Mitogen-activated protein kinase 10 (Fragment),Homo sapiens (Human),65,MAPK10,,,
A7LFE4,A7LFE4_HUMAN,unreviewed,Cytochrome c oxidase subunit 3,Homo sapiens (Human),261,COX3,,integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646],IPR024791;IPR033945;IPR000298;IPR035973;IPR013833;
A0A0K0KR90,A0A0K0KR90_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A0D5CC74,A0A0D5CC74_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
C9K073,C9K073_HUMAN,unreviewed,Eukaryotic translation initiation factor 4 gamma 1 (Fragment),Homo sapiens (Human),869,EIF4G1,,cytosol [GO:0005829]; mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743],IPR016024;IPR037584;IPR016021;IPR003890;
A0A087WW27,A0A087WW27_HUMAN,unreviewed,Neuroligin-3,Homo sapiens (Human),351,NLGN3,,integral component of plasma membrane [GO:0005887]; synapse [GO:0045202]; neurexin family protein binding [GO:0042043]; cell adhesion [GO:0007155]; modulation of chemical synaptic transmission [GO:0050804]; synapse organization [GO:0050808],IPR029058;IPR002018;IPR019819;IPR030024;
Q5TBU2,Q5TBU2_HUMAN,unreviewed,Adipogenesis regulatory factor (Fragment),Homo sapiens (Human),38,ADIRF,,nucleus [GO:0005634]; positive regulation of fat cell differentiation [GO:0045600],IPR034450;
A0A087WYU6,A0A087WYU6_HUMAN,unreviewed,Lysophosphatidic acid phosphatase type 6 (Fragment),Homo sapiens (Human),166,ACP6,,,IPR000560;IPR029033;
A0A2R8Y4X6,A0A2R8Y4X6_HUMAN,unreviewed,"Probable histidine--tRNA ligase, mitochondrial",Homo sapiens (Human),160,HARS2,,,IPR041715;
A0A1B0GUP7,A0A1B0GUP7_HUMAN,unreviewed,Uncharacterized protein C1orf112,Homo sapiens (Human),161,C1orf112,,,IPR027902;
Q13318,Q13318_HUMAN,unreviewed,PU.1 (Fragment),Homo sapiens (Human),10,Spi-1,,DNA-binding transcription factor activity [GO:0003700],
A0A068C9R9,A0A068C9R9_HUMAN,unreviewed,ATP synthase subunit a,Homo sapiens (Human),226,ATP6,,"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]",IPR000568;IPR023011;IPR035908;
F6IQV0,F6IQV0_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),337,HLA-A,,integral component of membrane [GO:0016021],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;
B4DG14,B4DG14_HUMAN,unreviewed,"cDNA FLJ55343, highly similar to Brain-specific angiogenesis inhibitor 2",Homo sapiens (Human),524,,,integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; negative regulation of angiogenesis [GO:0016525],IPR017981;IPR008077;IPR000832;
H3BT67,H3BT67_HUMAN,unreviewed,Katanin p80 WD40 repeat-containing subunit B1 (Fragment),Homo sapiens (Human),117,KATNB1,,,IPR015943;IPR001680;IPR017986;IPR036322;
A0A2H4FZK9,A0A2H4FZK9_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
F5H664,F5H664_HUMAN,unreviewed,Membrane-associated phosphatidylinositol transfer protein 2 (Fragment),Homo sapiens (Human),41,PITPNM2,,phospholipid transporter activity [GO:0005548],IPR001666;IPR023393;
B5AFW9,B5AFW9_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
Q9ULY0,Q9ULY0_HUMAN,unreviewed,MutY homolog (HMYH) (Fragment),Homo sapiens (Human),72,hMYH,,,
X6RE05,X6RE05_HUMAN,unreviewed,E3 ubiquitin-protein ligase UBR4 (Fragment),Homo sapiens (Human),984,UBR4,,,
A0A1B0GTE1,A0A1B0GTE1_HUMAN,unreviewed,Contactin-associated protein-like 3C (Fragment),Homo sapiens (Human),492,CNTNAP3C,,integral component of membrane [GO:0016021],IPR028873;IPR013320;IPR000421;IPR008979;IPR001791;
L8E8P9,L8E8P9_HUMAN,unreviewed,Alternative protein PRDM16,Homo sapiens (Human),110,PRDM16,,,
Q8TDS2,Q8TDS2_HUMAN,unreviewed,ATM (Fragment),Homo sapiens (Human),87,ATM,,,
A0A160YHF6,A0A160YHF6_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),89,HLA-DRB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
L8EBE0,L8EBE0_HUMAN,unreviewed,Alternative protein TET3,Homo sapiens (Human),98,TET3,,,
A0A0A7C878,A0A0A7C878_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),87,HLA-DPB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
H0Y8V2,H0Y8V2_HUMAN,unreviewed,Extracellular matrix protein FRAS1 (Fragment),Homo sapiens (Human),426,FRAS1,,,IPR039005;
Q05CR2,Q05CR2_HUMAN,unreviewed,ZNF248 protein,Homo sapiens (Human),111,ZNF248,,"nucleic acid binding [GO:0003676]; regulation of transcription, DNA-templated [GO:0006355]",IPR001909;IPR036051;
D6R949,D6R949_HUMAN,unreviewed,Glutathione S-transferase C-terminal domain-containing protein (Fragment),Homo sapiens (Human),40,GSTCD,,,
A0A0N7A4T7,A0A0N7A4T7_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),87,HLA-DPB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
A0A1S5QQQ3,A0A1S5QQQ3_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
Q9HB64,Q9HB64_HUMAN,unreviewed,Interferon regulatory factor-7H (Fragment),Homo sapiens (Human),128,,,nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region DNA binding [GO:0044212]; induction of host immune response by virus [GO:0046730]; inflammatory response [GO:0006954]; response to virus [GO:0009615]; transcription initiation from RNA polymerase II promoter [GO:0006367],IPR019817;IPR001346;IPR036388;IPR036390;
R4GMM7,R4GMM7_HUMAN,unreviewed,Tyrosine-protein phosphatase non-receptor type 23,Homo sapiens (Human),64,PTPN23,,,IPR038499;
F8VU40,F8VU40_HUMAN,unreviewed,Proline-rich protein 13,Homo sapiens (Human),151,PRR13,,cytosol [GO:0005829]; nucleoplasm [GO:0005654],
M0QY09,M0QY09_HUMAN,unreviewed,F-BAR domain only protein 1 (Fragment),Homo sapiens (Human),155,FCHO1,,clathrin-dependent endocytosis [GO:0072583],IPR027267;IPR031160;IPR001060;IPR030121;
A0A1S5QRI7,A0A1S5QRI7_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),89,HLA-DRB4,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
F8WCG4,F8WCG4_HUMAN,unreviewed,Histone deacetylase 8,Homo sapiens (Human),56,HDAC8,,,IPR037138;
E7EPP7,E7EPP7_HUMAN,unreviewed,Syntaxin-binding protein 4,Homo sapiens (Human),531,STXBP4,,,IPR001478;IPR036034;IPR001202;IPR036020;
Q32LY1,Q32LY1_HUMAN,unreviewed,CDH9 protein (Fragment),Homo sapiens (Human),93,CDH9,,cell-cell adhesion [GO:0098609],IPR039808;
H0YE04,H0YE04_HUMAN,unreviewed,Signal peptidase complex subunit 2 (Fragment),Homo sapiens (Human),166,SPCS2,,integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]; peptidase activity [GO:0008233]; signal peptide processing [GO:0006465],IPR009582;
M9P987,M9P987_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-B,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A1B0GTZ8,A0A1B0GTZ8_HUMAN,unreviewed,Alpha-ketoglutarate-dependent dioxygenase FTO (Fragment),Homo sapiens (Human),66,FTO,,oxidative DNA demethylase activity [GO:0035516]; oxidative RNA demethylase activity [GO:0035515]; DNA dealkylation involved in DNA repair [GO:0006307]; oxidative single-stranded DNA demethylation [GO:0035552]; oxidative single-stranded RNA demethylation [GO:0035553]; regulation of multicellular organism growth [GO:0040014]; RNA repair [GO:0042245],IPR032868;IPR024366;IPR038413;
A0A343GQG4,A0A343GQG4_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1),Homo sapiens (Human),513,COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
C9JVW9,C9JVW9_HUMAN,unreviewed,"Propionyl-CoA carboxylase beta chain, mitochondrial (Fragment)",Homo sapiens (Human),133,PCCB,,acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; fatty acid biosynthetic process [GO:0006633],IPR034733;IPR000438;IPR029045;IPR011762;
A0A384MDP8,A0A384MDP8_HUMAN,unreviewed,Beta-defensin,Homo sapiens (Human),111,,,extracellular region [GO:0005576]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087],IPR025933;
F8WFB7,F8WFB7_HUMAN,unreviewed,NEDD8-conjugating enzyme UBE2F,Homo sapiens (Human),48,UBE2F,,,
A0A0P1GLA1,A0A0P1GLA1_HUMAN,unreviewed,MHC Class II antigen (Fragment),Homo sapiens (Human),183,HLA-DRB3,,integral component of membrane [GO:0016021]; MHC class II protein complex [GO:0042613]; adaptive immune response [GO:0002250]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011162;IPR014745;IPR000353;
E3SWH1,E3SWH1_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
B2D098,B2D098_HUMAN,unreviewed,Alpha-1 antitrypsin Valcamonica variant (Fragment),Homo sapiens (Human),49,,,extracellular space [GO:0005615],IPR023796;IPR000215;IPR036186;IPR042178;
A0A345ALS0,A0A345ALS0_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1),Homo sapiens (Human),513,COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
Q4VAM4,Q4VAM4_HUMAN,unreviewed,SLC6A5 protein,Homo sapiens (Human),395,SLC6A5,,integral component of membrane [GO:0016021]; neurotransmitter:sodium symporter activity [GO:0005328],IPR000175;IPR037272;
C9JQ36,C9JQ36_HUMAN,unreviewed,Interleukin-1 receptor type 1 (Fragment),Homo sapiens (Human),182,IL1R1,,"interleukin-1, type I, activating receptor activity [GO:0004909]",IPR007110;IPR036179;IPR013783;IPR041416;IPR015621;IPR004076;IPR004074;
A0A1B0Z6G7,A0A1B0Z6G7_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),90,HLA-DRB5,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
A0A1B0GX20,A0A1B0GX20_HUMAN,unreviewed,Circadian-associated transcriptional repressor (Fragment),Homo sapiens (Human),225,CIART,,transcription regulatory region sequence-specific DNA binding [GO:0000976]; circadian regulation of gene expression [GO:0032922],IPR031373;
B5AN67,B5AN67_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),91,HLA-A,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A1B0GVK9,A0A1B0GVK9_HUMAN,unreviewed,"POU domain, class 6, transcription factor 1 (Fragment)",Homo sapiens (Human),180,POU6F1,,,
H0Y9C5,H0Y9C5_HUMAN,unreviewed,DCN1-like protein 4 (Fragment),Homo sapiens (Human),21,DCUN1D4,,,
F6IQU2,F6IQU2_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),337,HLA-A,,integral component of membrane [GO:0016021],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011161;IPR037055;IPR011162;IPR001039;
D6RAY6,D6RAY6_HUMAN,unreviewed,Centrosomal protein of 63 kDa (Fragment),Homo sapiens (Human),162,CEP63,,,IPR029608;IPR031470;
L7XJZ7,L7XJZ7_HUMAN,unreviewed,Cytochrome c oxidase subunit 1 (EC 1.9.3.1),Homo sapiens (Human),513,COX1,1.9.3.1,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119],IPR023616;IPR036927;IPR000883;IPR023615;IPR033944;
Q9UMP2,Q9UMP2_HUMAN,unreviewed,DNA mismatch repair protein,Homo sapiens (Human),851,G7,,MutSalpha complex [GO:0032301]; ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298],IPR011184;IPR000432;IPR007861;IPR007696;IPR036187;IPR027417;
J3KNU2,J3KNU2_HUMAN,unreviewed,F-box only protein 16,Homo sapiens (Human),316,FBXO16,,,IPR036047;IPR001810;
A0A158T700,A0A158T700_HUMAN,unreviewed,Differentiation-associated catenin regulator,Homo sapiens (Human),651,,,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156],IPR002126;IPR015919;IPR020894;IPR030326;
Q6LD06,Q6LD06_HUMAN,unreviewed,Alpha-1c adrenergic receptor subtype (Fragment),Homo sapiens (Human),171,ADRA1C,,integral component of membrane [GO:0016021]; alpha1-adrenergic receptor activity [GO:0004937]; regulation of cardiac muscle contraction [GO:0055117]; regulation of vasoconstriction [GO:0019229],IPR001004;
A0A346XLS7,A0A346XLS7_HUMAN,unreviewed,TP53 (Fragment),Homo sapiens (Human),29,TP53,,nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region DNA binding [GO:0044212]; apoptotic process [GO:0006915],IPR008967;IPR012346;IPR011615;IPR002117;
B8ZZ75,B8ZZ75_HUMAN,unreviewed,Aldose 1-epimerase,Homo sapiens (Human),194,GALM,,carbohydrate binding [GO:0030246]; isomerase activity [GO:0016853]; carbohydrate metabolic process [GO:0005975],IPR008183;IPR011013;IPR014718;
B4DE18,B4DE18_HUMAN,unreviewed,"cDNA FLJ57101, highly similar to SAC domain-containing protein 3",Homo sapiens (Human),601,,,phosphoric ester hydrolase activity [GO:0042578],IPR002013;
A0A1S6NI94,A0A1S6NI94_HUMAN,unreviewed,Cytochrome b,Homo sapiens (Human),380,CYTB,,"integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]",IPR005798;IPR036150;IPR005797;IPR027387;IPR030689;IPR016174;
B4DKZ0,B4DKZ0_HUMAN,unreviewed,"cDNA FLJ55089, highly similar to Presqualene diphosphate phosphatase",Homo sapiens (Human),204,,,integral component of membrane [GO:0016021],IPR036938;IPR000326;
A0A087WTQ6,A0A087WTQ6_HUMAN,unreviewed,Protein sidekick-1,Homo sapiens (Human),2213,SDK1,,integral component of membrane [GO:0016021],IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;
M4QCA7,M4QCA7_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),87,HLA-DPB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
F8WAV3,F8WAV3_HUMAN,unreviewed,Centrosomal protein of 41 kDa,Homo sapiens (Human),69,CEP41,,,
B4E1R3,B4E1R3_HUMAN,unreviewed,"cDNA FLJ52878, highly similar to Cell division cycle-associated protein 4",Homo sapiens (Human),193,,,cell division [GO:0051301],
U5YBD5,U5YBD5_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),70,HLA-A,,,IPR011161;IPR037055;IPR011162;
A0A087WXA6,A0A087WXA6_HUMAN,unreviewed,GRIP1-associated protein 1 (Fragment),Homo sapiens (Human),302,GRIPAP1,,,IPR026204;
C0KJW1,C0KJW1_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
C9JVJ9,C9JVJ9_HUMAN,unreviewed,Putative transporter SVOPL,Homo sapiens (Human),372,SVOPL,,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],IPR020846;IPR005828;IPR036259;
B7SEZ0,B7SEZ0_HUMAN,unreviewed,Dentin sialophosphoprotein (Fragment),Homo sapiens (Human),390,DSPP,,,
A0A0S2Z4Q2,A0A0S2Z4Q2_HUMAN,unreviewed,Transforming growth factor beta-induced 68kDa isoform 1 (Fragment),Homo sapiens (Human),683,TGFBI,,basement membrane [GO:0005604]; extracellular space [GO:0005615]; collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]; integrin binding [GO:0005178]; cell adhesion [GO:0007155]; cell population proliferation [GO:0008283]; chondrocyte differentiation [GO:0002062]; extracellular matrix organization [GO:0030198],IPR011489;IPR036378;IPR000782;IPR032954;IPR016666;
Q5GIA6,Q5GIA6_HUMAN,unreviewed,Antigen MU-RMS-40.17 (Fragment),Homo sapiens (Human),376,RUFY2,,,IPR004012;IPR037213;
Q6UY50,Q6UY50_HUMAN,unreviewed,NL3,Homo sapiens (Human),218,UNQ172,,,IPR036056;IPR014716;IPR014715;IPR002181;IPR020837;
E9PF06,E9PF06_HUMAN,unreviewed,"39S ribosomal protein L3, mitochondrial (Fragment)",Homo sapiens (Human),176,MRPL3,,ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],IPR000597;IPR019927;IPR009000;
G1ENQ4,G1ENQ4_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-C,,,IPR011161;IPR037055;IPR011162;IPR001039;
A0A140T909,A0A140T909_HUMAN,unreviewed,"HLA class II histocompatibility antigen, DP alpha 1 chain (Fragment)",Homo sapiens (Human),212,HLA-DPA1,,integral component of membrane [GO:0016021]; MHC class II protein complex [GO:0042613]; adaptive immune response [GO:0002250]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504],IPR007110;IPR036179;IPR013783;IPR003006;IPR003597;IPR011162;IPR014745;IPR001003;
H7C5D9,H7C5D9_HUMAN,unreviewed,Leucine-rich repeat and calponin homology domain-containing protein 4 (Fragment),Homo sapiens (Human),177,LRCH4,,,IPR001715;IPR036872;
M0QXE4,M0QXE4_HUMAN,unreviewed,Zinc finger protein 611,Homo sapiens (Human),48,ZNF611,,,
A0A3S6CVQ1,A0A3S6CVQ1_HUMAN,unreviewed,Aromatic-L-amino-acid decarboxylase isoform 34 (EC 4.1.1.28),Homo sapiens (Human),352,DDC AADC,4.1.1.28,aromatic-L-amino-acid decarboxylase activity [GO:0004058]; pyridoxal phosphate binding [GO:0030170]; cellular amino acid metabolic process [GO:0006520],IPR010977;IPR002129;IPR015424;IPR015422;IPR015421;
B3VRE0,B3VRE0_HUMAN,unreviewed,5-hydroxytryptamine (Serotonin) receptor 2C (Fragment),Homo sapiens (Human),274,HTR2C,,integral component of plasma membrane [GO:0005887]; G protein-coupled serotonin receptor activity [GO:0004993]; feeding behavior [GO:0007631]; locomotory behavior [GO:0007626],IPR000377;IPR000276;IPR017452;
A0A386NDB3,A0A386NDB3_HUMAN,unreviewed,Cellular tumor antigen p53,Homo sapiens (Human),393,TP53,,cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; transcription regulatory region DNA binding [GO:0044212]; apoptotic process [GO:0006915]; cell cycle [GO:0007049]; protein tetramerization [GO:0051262],IPR008967;IPR012346;IPR011615;IPR040926;IPR036674;IPR010991;IPR013872;IPR002117;
B4DW65,B4DW65_HUMAN,unreviewed,cDNA FLJ60917,Homo sapiens (Human),397,,,nuclease activity [GO:0004518]; DNA repair [GO:0006281],IPR026832;IPR039436;IPR029060;IPR006085;
A0A087X152,A0A087X152_HUMAN,unreviewed,Netrin receptor UNC5C,Homo sapiens (Human),890,UNC5C,,integral component of membrane [GO:0016021]; netrin receptor activity [GO:0005042],IPR011029;IPR000488;IPR042154;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR000884;IPR036383;IPR037936;IPR033772;IPR000906;
H6A2X0,H6A2X0_HUMAN,unreviewed,Histo-blood group ABO system transferase,Homo sapiens (Human),354,ABO,,"integral component of membrane [GO:0016021]; transferase activity, transferring hexosyl groups [GO:0016758]; carbohydrate metabolic process [GO:0005975]",IPR005076;IPR029044;
A0A0X7YYL3,A0A0X7YYL3_HUMAN,unreviewed,MHC class I antigen (Fragment),Homo sapiens (Human),181,HLA-B,,,IPR011161;IPR037055;IPR011162;IPR001039;
F8VS97,F8VS97_HUMAN,unreviewed,Two pore calcium channel protein 1 (Fragment),Homo sapiens (Human),126,TPCN1,,voltage-gated calcium channel activity [GO:0005245],IPR028801;
A7UHG6,A7UHG6_HUMAN,unreviewed,MHC class II antigen (Fragment),Homo sapiens (Human),89,HLA-DRB1,,MHC class II protein complex [GO:0042613]; antigen processing and presentation [GO:0019882]; immune response [GO:0006955],IPR011162;IPR014745;IPR000353;
V9GYW7,V9GYW7_HUMAN,unreviewed,Uncharacterized protein KIAA0930,Homo sapiens (Human),85,KIAA0930,,,IPR019141;
A0A3B3IU46,A0A3B3IU46_HUMAN,unreviewed,RNA guanine-7 methyltransferase-activating subunit-like (pseudogene),Homo sapiens (Human),118,RAMACL,,mRNA cap binding complex [GO:0005845]; RNA binding [GO:0003723]; RNA 5'-cap (guanine-N7)-methylation [GO:0106005],IPR028271;
Q6ZRM8,Q6ZRM8_HUMAN,unreviewed,"cDNA FLJ46245 fis, clone TESTI4020596, highly similar to Homo sapiens calpain 5 (CAPN5)",Homo sapiens (Human),680,,,calcium-dependent cysteine-type endopeptidase activity [GO:0004198],IPR033884;IPR000008;IPR035892;IPR033883;IPR022684;IPR022682;IPR022683;IPR036213;IPR038765;IPR000169;IPR001300;
A0A0P0QLY2,A0A0P0QLY2_HUMAN,unreviewed,Glycophorin Hop (Fragment),Homo sapiens (Human),43,,,integral component of membrane [GO:0016021],IPR001195;
D6RC79,D6RC79_HUMAN,unreviewed,Rho-related BTB domain-containing protein 3,Homo sapiens (Human),242,RHOBTB3,,ATPase activity [GO:0016887]; Rab GTPase binding [GO:0017137]; vesicle-mediated transport [GO:0016192],IPR000210;IPR031260;IPR011333;
A0A140VK59,A0A140VK59_HUMAN,unreviewed,Testicular secretory protein Li 59,Homo sapiens (Human),339,,,endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; regulation of store-operated calcium entry [GO:2001256],IPR009567;
A0A024R3C2,A0A024R3C2_HUMAN,unreviewed,Uncharacterized protein,Homo sapiens (Human),122,LOC57149 hCG_38250,,midbody [GO:0030496]; nucleoplasm [GO:0005654],IPR008011;IPR040330;
